13,14,11
17,20,15
16,34,1
25,12,9
1,1,2
1,2,4
6,5,6
8,14,12
20,15,12
5,5,8
5,6,6
24,21,13
26,23,6
6,17,7
14,10,11
9,6,18
20,29,17
6,9,12
12,12,11
21,7,8
16,10,9
7,6,7
19,31,5
20,12,15
1,1,1
12,13,10
32,42,10
5,4,4
1,1,1
41,27,4
15,15,16
19,42,2
7,9,6
5,31,4
21,43,3
21,29,11
15,12,14
47,43,10
10,12,11
16,26,18
7,7,11
13,10,12
16,15,11
9,6,4
46,27,14
8,10,7
5,9,7
14,14,16
39,19,13
7,5,4
50,28,14
11,28,3
8,6,9
8,7,9
28,22,14
2,2,3
14,37,12
33,33,14
4,6,4
6,6,6
7,11,8
9,50,15
39,13,9
3,5,2
6,7,7
4,36,1
26,30,16
36,5,5
18,4,3
7,5,5
27,42,9
2,2,2
17,46,4
1,1,1
10,19,6
21,1,1
12,23,24
7,13,9
15,7,11
36,33,14
45,39,7
4,2,3
15,36,16
1,1,1
4,4,6
18,35,15
5,8,7
10,10,9
14,23,11
1,1,1
14,11,11
11,29,7
3,8,5
5,7,6
13,15,12
15,13,11
10,11,18
21,24,8
9,2,5
14,19,9
10,8,11
1,1,1
18,39,13
32,25,9
13,39,14
7,9,7
21,28,1
6,9,8
10,14,10
26,18,7
11,23,13
23,42,6
10,13,13
1,27,3
10,10,7
3,4,2
5,26,8
5,22,7
39,15,5
5,31,8
4,29,3
14,36,8
9,19,7
2,48,1
13,12,13
3,3,3
7,33,2
14,10,11
18,17,18
5,3,2
27,49,10
42,43,8
5,10,1
8,37,5
40,22,5
23,16,11
5,3,6
2,47,5
49,22,15
9,16,10
4,7,11
3,7,2
19,1,1
12,13,12
33,21,16
5,6,3
1,2,4
1,1,1
17,46,11
7,34,8
8,9,17
18,16,2
15,27,6
6,7,9
28,4,6
19,39,8
4,21,4
11,17,10
10,15,11
7,10,7
1,12,7
3,1,1
5,20,6
9,6,10
14,17,12
1,27,6
17,20,20
45,15,9
2,1,2
30,25,5
27,27,5
6,8,9
33,32,17
11,13,11
8,26,4
12,13,12
8,9,10
21,25,13
22,22,16
9,15,11
11,22,12
12,32,15
25,16,12
24,47,7
6,15,14
1,1,1
3,3,4
10,4,3
26,18,4
4,26,6
2,20,7
1,1,1
3,6,3
6,3,3
21,9,10
8,2,4
18,22,11
4,7,7
4,2,2
10,22,5
3,11,2
28,30,8
2,17,8
4,5,3
7,10,10
7,9,5
41,19,7
5,3,4
11,12,10
16,31,9
34,11,14
11,25,7
8,13,12
22,15,10
32,9,10
33,13,7
5,11,7
9,1,6
4,6,5
28,14,9
34,23,11
46,16,9
9,9,10
7,21,5
19,7,9
17,7,7
7,7,13
4,1,1
