5,13,7,6
18,10,12,6
3,5,4,5
4,3,6,6
13,10,12,10
1,1,1,1
12,12,6,3
17,14,15,16
5,3,4,7
36,45,6,12
1,1,3,2
22,20,14,14
19,29,20,8
10,13,20,14
10,7,11,8
5,14,9,10
9,8,28,8
6,6,8,6
6,10,10,6
3,4,12,3
4,8,4,5
25,1,1,1
12,4,5,8
8,8,11,7
10,4,5,7
18,30,22,13
13,42,6,6
15,19,11,8
27,40,3,4
6,10,10,9
6,5,4,6
15,12,11,10
6,5,7,3
3,3,3,2
5,10,7,6
3,14,4,3
4,4,3,7
1,1,1,1
1,20,1,1
5,21,7,5
9,10,6,8
23,33,13,14
9,11,9,27
5,4,7,5
6,30,3,4
16,28,11,11
5,6,6,6
4,14,3,6
20,27,5,6
5,8,7,10
9,8,12,10
3,27,5,5
16,15,17,15
23,38,16,9
44,24,8,9
11,21,10,6
20,17,8,10
4,1,1,1
2,3,5,2
16,34,7,7
3,2,3,7
2,3,4,2
21,13,13,11
10,15,10,13
25,20,12,12
11,9,14,10
40,9,4,5
7,4,2,5
21,43,23,21
16,11,14,15
16,14,11,8
1,1,1,1
41,27,5,19
48,46,11,18
3,13,5,4
1,1,1,1
20,28,11,6
25,30,11,10
28,26,1,4
6,3,5,2
5,3,3,4
48,12,17,11
24,25,5,5
12,23,9,15
10,12,10,16
31,19,4,9
21,22,3,6
18,30,6,19
4,2,3,4
11,20,12,14
11,7,14,10
5,6,7,9
9,15,18,13
4,5,9,7
20,25,6,10
10,38,4,3
2,2,2,2
2,3,2,2
7,7,5,10
3,3,2,3
11,2,2,4
31,23,6,17
4,4,2,5
21,16,7,8
27,46,21,13
35,24,13,12
8,24,5,5
10,7,4,2
22,31,13,14
10,10,9,6
9,9,9,12
13,21,10,11
15,34,20,7
15,15,11,12
15,23,9,14
2,2,3,4
12,9,11,12
2,37,2,1
9,5,4,8
19,18,19,3
4,10,9,5
4,6,4,6
28,2,3,2
11,26,11,5
11,9,6,8
20,40,11,13
2,6,2,2
25,1,1,1
6,10,4,6
40,22,13,28
11,1,2,2
3,8,3,7
5,4,4,4
3,3,3,3
19,22,5,9
41,14,12,13
16,21,7,17
5,18,1,2
4,1,1,3
19,26,8,7
22,27,1,2
20,20,15,12
10,44,15,7
7,17,10,7
13,9,4,3
1,1,1,1
15,18,16,8
42,13,17,9
6,20,7,11
7,6,7,8
13,22,12,14
12,34,9,6
25,34,22,16
10,7,12,12
7,24,5,5
31,33,5,4
12,11,7,12
11,15,11,7
14,4,5,7
20,26,10,7
3,4,2,4
9,10,5,6
1,2,6,3
34,12,2,3
6,22,15,7
31,38,10,5
39,17,14,13
16,31,25,18
17,27,5,5
7,13,9,9
2,7,1,6
15,33,17,11
14,26,9,28
7,13,10,12
18,14,9,7
9,14,7,7
1,1,1,1
22,1,1,1
31,19,11,6
32,34,5,3
4,8,9,3
11,13,9,11
14,9,12,12
27,35,3,4
18,27,5,4
34,12,9,10
1,1,1,1
10,30,10,12
19,49,6,10
18,27,18,7
10,45,11,9
4,4,4,3
15,24,19,10
3,1,4,1
23,16,11,12
21,17,10,9
13,13,11,12
15,25,6,4
8,7,5,5
7,4,4,3
5,8,7,9
2,9,2,1
32,22,19,19
4,40,4,6
37,39,11,20
1,1,1,1
12,19,8,11
2,3,3,2
2,3,2,2
1,2,1,2
12,22,13,16
6,4,3,5
7,4,5,5
5,7,3,5
1,2,2,1
4,4,4,4
5,50,1,2
29,37,8,8
7,15,14,10
6,4,10,6
4,2,2,2
6,1,3,4
15,6,16,8
9,10,16,10
34,13,8,10
2,2,2,3
26,23,13,22
39,24,7,9
11,35,2,4
19,22,5,11
5,26,6,5
26,28,9,8
4,11,5,4
6,2,1,2
3,2,5,6
7,7,6,9
36,42,21,14
25,6,7,6
32,31,5,8
9,15,8,8
29,42,7,4
1,1,1,1
17,19,18,8
21,7,3,3
10,13,10,8
10,12,10,10
2,2,2,2
31,33,12,12
28,28,22,10
7,6,5,9
26,42,6,10
1,1,1,1
2,4,5,6
14,7,5,6
4,4,3,8
22,25,4,13
12,3,4,2
47,27,16,16
2,11,6,9
5,4,5,4
21,16,2,3
2,6,2,2
2,7,4,2
20,43,6,9
7,14,9,10
18,12,3,2
4,4,3,2
9,22,11,11
5,1,6,2
2,8,4,2
10,10,10,7
8,24,11,12
7,7,4,7
11,9,9,10
13,47,7,12
2,5,3,2
1,1,1,1
29,30,7,11
44,22,18,9
5,9,6,5
2,2,2,2
7,9,8,7
13,14,9,8
10,11,6,7
6,48,4,7
13,26,14,9
11,17,20,8
