81,84,18
8,55,6
72,39,5
29,27,4
5,2,10
1,76,1
71,74,4
30,24,116
49,117,34
47,27,9
2,2,57
59,50,1
65,127,27
39,101,3
43,53,24
50,5,66
24,14,18
16,22,9
73,25,88
3,4,21
6,8,11
11,27,42
12,42,14
13,8,78
3,29,22
7,32,2
1,1,1
30,67,27
24,7,49
19,13,27
21,39,18
15,11,26
14,34,18
12,2,1
4,3,2
37,44,25
64,61,13
1,1,6
18,32,20
7,17,2
4,14,16
6,3,10
1,1,41
9,23,18
67,59,11
53,33,33
22,36,13
16,20,66
3,57,5
5,35,41
75,18,38
26,36,7
10,38,50
18,38,23
14,51,22
75,16,26
66,37,18
21,109,6
23,131,94
30,4,14
7,5,15
7,68,24
54,48,47
15,41,26
82,16,21
85,12,50
78,60,69
4,32,4
2,36,16
29,97,84
40,39,8
16,54,17
23,11,16
51,22,15
13,7,33
31,7,15
9,6,49
7,9,120
47,55,146
68,87,26
62,34,70
31,20,40
9,68,19
9,21,21
13,13,40
78,77,1
17,26,24
9,45,26
14,37,81
13,7,59
9,87,106
18,40,26
9,7,69
69,59,39
13,15,20
20,19,19
73,41,26
61,12,9
11,16,116
23,83,16
43,44,4
25,2,1
26,121,8
12,73,45
7,8,26
17,60,47
63,36,15
8,108,103
26,106,41
7,48,5
5,9,21
36,47,12
14,20,36
14,76,67
16,33,3
37,57,49
26,109,18
15,16,37
26,25,61
102,21,5
11,36,23
25,97,6
13,52,39
18,17,25
19,57,99
25,66,2
17,36,12
20,16,57
7,47,39
16,29,22
40,20,22
48,85,13
9,5,33
16,13,43
55,6,59
70,111,41
5,64,2
30,22,12
20,143,40
2,123,59
65,46,10
44,3,33
13,21,16
35,10,9
29,8,17
38,52,10
66,9,67
10,12,21
49,23,41
38,47,9
46,26,11
33,43,11
28,30,21
40,46,5
12,60,20
7,6,3
2,2,1
32,37,20
120,58,84
91,27,16
22,42,23
65,74,15
2,1,1
5,37,76
40,117,8
44,8,33
17,26,18
4,27,33
20,27,15
19,39,1
15,11,21
70,14,58
42,4,4
11,13,10
2,31,4
1,15,1
29,26,33
50,41,23
36,137,5
24,5,6
19,147,61
8,17,6
5,4,12
2,2,3
60,14,14
17,78,58
5,107,16
70,123,35
8,11,83
19,43,13
72,6,23
101,17,25
7,75,18
27,54,9
27,87,70
37,54,11
6,7,23
15,18,64
36,24,7
8,12,14
44,60,9
34,22,19
1,1,1
7,18,125
15,64,26
12,121,52
76,2,31
3,6,80
11,22,36
67,96,19
103,20,28
51,22,41
38,19,13
3,73,1
1,71,6
11,24,104
16,12,21
34,148,39
35,11,64
8,11,18
66,23,21
55,18,4
64,16,19
54,51,26
7,72,4
115,9,18
17,32,8
12,2,80
5,2,3
21,122,89
85,2,54
24,35,85
32,105,63
65,5,20
54,4,19
15,80,30
3,50,24
64,25,41
35,41,60
9,16,12
1,49,9
30,23,37
64,9,19
4,6,17
25,129,33
27,49,26
61,56,18
9,23,50
57,38,21
56,32,22
1,7,3
29,15,11
22,78,8
52,3,67
5,9,24
69,80,16
39,7,67
25,31,13
3,2,1
4,3,44
7,2,56
16,4,52
68,97,8
7,2,3
13,20,28
29,12,17
17,71,16
19,73,49
7,42,85
62,74,147
30,39,26
5,55,15
13,23,53
18,25,35
4,4,35
100,61,23
16,31,37
25,18,27
62,11,37
18,9,9
67,28,63
27,27,60
60,23,39
13,18,14
8,9,71
23,46,3
4,78,2
18,21,31
1,1,1
44,34,127
17,122,6
18,89,34
37,75,136
60,76,21
18,24,28
33,30,25
12,7,7
22,76,10
16,66,37
2,3,10
99,34,22
1,3,55
11,17,31
61,44,74
31,7,76
4,3,3
20,15,30
17,39,11
16,29,15
34,85,18
7,33,13
112,37,14
31,50,12
21,82,4
14,24,14
7,9,10
84,52,4
7,47,36
65,37,14
1,69,1
41,93,5
118,13,22
1,2,1
15,5,32
26,41,14
60,33,17
103,47,13
5,7,36
19,108,23
80,39,18
24,48,59
101,20,69
10,29,11
16,84,8
15,76,26
29,22,16
8,70,14
92,48,16
8,6,18
108,81,70
40,49,12
96,38,17
14,64,45
21,12,17
10,43,5
20,17,18
56,10,65
17,18,17
43,12,10
29,24,37
41,7,32
63,8,27
5,57,4
14,12,53
17,17,110
79,2,3
2,2,16
74,133,5
14,16,83
5,109,126
34,14,100
40,19,59
11,15,11
85,7,45
35,4,2
3,3,59
45,119,19
72,1,17
142,88,65
48,32,59
20,68,28
7,134,5
58,5,14
3,25,10
37,2,33
46,87,20
8,26,29
75,21,12
6,1,5
30,76,46
14,14,15
11,14,32
45,34,124
15,38,25
11,86,47
18,50,18
3,4,33
8,8,32
27,37,31
34,26,12
13,19,11
32,110,39
64,69,29
5,16,22
16,5,36
25,58,20
5,41,69
3,2,2
13,12,53
66,3,23
18,72,10
8,103,8
18,47,46
62,105,36
5,25,31
44,35,11
9,9,50
8,46,15
9,3,32
8,22,14
64,16,19
15,14,40
23,65,36
132,32,46
4,5,29
51,56,6
104,59,29
43,39,99
32,21,57
59,33,5
10,66,26
35,55,17
6,66,2
12,92,26
37,9,96
24,49,48
17,71,58
2,13,2
38,26,29
21,23,16
76,2,15
5,5,33
18,32,28
37,5,4
19,23,30
46,32,75
19,7,10
22,97,19
9,54,42
23,51,24
11,11,35
15,30,6
30,34,24
99,69,22
2,63,2
16,99,20
50,26,15
5,126,4
3,16,27
12,12,20
37,16,19
11,73,14
52,123,35
28,71,29
20,23,20
69,11,129
5,32,47
13,47,47
56,10,3
26,72,17
33,26,31
53,54,40
71,10,53
10,14,38
43,56,56
17,16,18
21,23,27
17,57,38
26,121,7
27,10,19
2,1,12
37,45,19
15,12,42
74,33,7
14,37,21
27,62,20
50,88,24
5,6,33
29,48,17
3,19,2
43,12,23
52,80,9
9,23,15
25,58,39
20,88,40
53,18,68
17,69,12
32,7,10
24,11,24
11,58,14
16,22,33
23,28,41
10,73,15
19,23,40
28,10,12
8,38,25
24,79,34
42,1,36
11,93,5
19,5,2
38,35,42
6,29,87
38,1,12
40,67,23
11,1,69
12,33,103
2,3,3
10,37,45
15,40,18
7,12,38
36,106,37
6,4,2
28,25,15
8,76,41
16,28,35
60,4,8
